slug	name	category	url	type	source
amkor-technology	Amkor Technology	strong:type	https://www.amkor.com	Portal	common
amphenol	Amphenol	strong:type	https://www.amphenol.com	Portal	common
analog-devices	Analog Devices	strong:type	https://www.analog.com	Portal	common
analog-devices	Analog Devices	strong:type	https://developer.analog.com	DeveloperPortal	common
analog-devices	Analog Devices	medium:url-host	https://developer.analog.com/solutions/codefusionstudio	Documentation	api
analog-devices	Analog Devices	medium:url-host	https://developer.analog.com/docs/codefusion-studio/1.0.2/	APIReference	api
andersons	The Andersons	strong:type	https://www.andersons.com	Portal	common
antero-resources	Antero Resources	strong:type	https://www.anteroresources.com	Portal	common
antero-resources	Antero Resources	medium:url-host	https://data.sec.gov/submissions/CIK0001433270.json	APIReference	api
ao-smith	AO Smith	strong:type	https://www.aosmith.com	Portal	common
apple	Apple	strong:type	https://developer.apple.com	DeveloperPortal	common
apple	Apple	medium:url-host	https://developer.apple.com/terms/	TermsOfService	common
apple	Apple	medium:url-host	https://developer.apple.com/support/	Support	common
apple	Apple	medium:url-host	https://developer.apple.com/news/	Blog	common
apple	Apple	medium:url-host	https://developer.apple.com/system-status/	StatusPage	common
apple	Apple	medium:url-host	https://developer.apple.com/programs/enroll/	SignUp	common
apple	Apple	medium:url-host	https://developer.apple.com/support/compare-memberships/	Pricing	common
apple	Apple	medium:url-host	https://developer.apple.com/videos/	YouTube	common
apple	Apple	medium:url-host	https://developer.apple.com/documentation/updates	ChangeLog	common
apple	Apple	medium:url-host	https://developer.apple.com/documentation/appstoreconnectapi/generating-tokens-for-api-requests	Authentication	common
apple	Apple	medium:url-host	https://developer.apple.com/tutorials/	Tutorials	common
apple	Apple	medium:url-host	https://developer.apple.com/sample-code/	CodeExamples	common
apple	Apple	medium:url-host	https://developer.apple.com/download/	SDK	common
apple	Apple	medium:url-host	https://developer.apple.com/contact/	Contact	common
apple	Apple	medium:url-host	https://developer.apple.com/documentation/applemusicapi	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/applemusicapi/getting_keys_and_creating_tokens	Authentication	api
apple	Apple	strong:type	https://developer.apple.com/musickit/	Portal	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/weatherkitrestapi	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/weatherkitrestapi/request_authentication_for_weatherkit_rest_api	Authentication	api
apple	Apple	strong:type	https://developer.apple.com/weatherkit/	Portal	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/updates/weatherkit	ChangeLog	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/appstoreconnectapi	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/sample-code/app-store-connect/app-store-connect-openapi-specification.zip	OpenAPI	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/appstoreconnectapi/creating_api_keys_for_app_store_connect_api	Authentication	api
apple	Apple	medium:url-host	https://developer.apple.com/help/app-store-connect/get-started/app-store-connect-api/	GettingStarted	api
apple	Apple	strong:type	https://developer.apple.com/app-store-connect/api/	Portal	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/appstoreconnectapi/app-store-connect-api-release-notes	ChangeLog	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/mapkitjs	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/mapkitjs/creating_and_using_tokens_with_mapkit_js	GettingStarted	api
apple	Apple	strong:type	https://developer.apple.com/maps/	Portal	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/sign_in_with_apple/sign_in_with_apple_rest_api	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/sign_in_with_apple/generate_and_validate_tokens	Authentication	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/usernotifications/setting_up_a_remote_notification_server	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/usernotifications/setting_up_a_remote_notification_server/establishing_a_token-based_connection_to_apns	Authentication	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/appstoreserverapi	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/appstoreserverapi/creating-api-keys-to-authorize-api-requests	Authentication	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/appstoreserverapi/app-store-server-api-changelog	ChangeLog	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/appstoreservernotifications	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/appstoreservernotifications/enabling-app-store-server-notifications	GettingStarted	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/applemapsserverapi/	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/applemapsserverapi/creating-and-using-tokens-with-maps-server-api	Authentication	api
apple	Apple	medium:url-host	https://developer.apple.com/maps/try-maps-server-api/	GettingStarted	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/applenewsapi	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/applenews/apple-news-api-tutorial	GettingStarted	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/apple_news/apple_news_api/about_the_apple_news_security_model	Authentication	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/devicecheck	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/devicecheck/establishing-your-app-s-integrity	GettingStarted	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/apple_ads	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/apple_search_ads/calling_the_apple_search_ads_api	Authentication	api
apple	Apple	strong:type	https://searchads.apple.com/help/campaigns/0022-use-the-campaign-management-api	Portal	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/walletpasses	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/walletpasses/adding-a-web-service-to-update-passes	GettingStarted	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/enterpriseprogramapi	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/enterpriseprogramapi/creating-api-keys-for-enterprise-program-api	Authentication	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/enterpriseprogramapi/enterprise-api-release-notes	ChangeLog	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/enterpriseprogramapi/identifying-rate-limits	RateLimits	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/apple-school-and-business-manager-api	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/apple-school-and-business-manager-api/implementing-oauth-for-the-apple-school-and-business-manager-api	Authentication	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/applepayontheweb	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/applepayontheweb/choosing-an-api-for-implementing-apple-pay-on-your-website	GettingStarted	api
apple	Apple	strong:type	https://developer.apple.com/apple-pay/implementation/	Portal	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/walletorders	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/classkitcatalogapi	Documentation	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/classkitcatalogapi/authenticating-calls-to-the-classkit-catalog-api	Authentication	api
apple	Apple	medium:url-host	https://developer.apple.com/documentation/applemusicfeed	Documentation	api
applovin	AppLovin	strong:type	https://developers.applovin.com	DeveloperPortal	common
applovin	AppLovin	weak:url-path	https://support.axon.ai/en/growth/promoting-your-apps/api/reporting-api	Documentation	api
applovin	AppLovin	weak:url-path	https://support.axon.ai/en/growth/promoting-your-apps/api/asset-reporting-api	Documentation	api
applovin	AppLovin	weak:url-path	https://support.axon.ai/en/app-discovery/api/axon-campaign-management-api/	Documentation	api
applovin	AppLovin	weak:url-path	https://support.axon.ai/en/growth/promoting-your-websites/api/lead-gen-capi/	Documentation	api
aramark	Aramark	strong:type	https://marko-developers.aramark.net/	Portal	common
arcbest	ArcBest	strong:type	https://www.arcbest.com/	Portal	common
archer-daniels-midland	Archer Daniels Midland	strong:type	https://www.adm.com/en-us/	Portal	common
ares-management	Ares Management	medium:url-host	https://developer.aresmgmt.com/docs	Documentation	api
arrow-electronics	Arrow Electronics	strong:type	https://developers.arrow.com/	Portal	common
arrow-electronics	Arrow Electronics	medium:url-host	https://developers.arrow.com/api/index.php/site/page?view=gettingStarted	GettingStarted	common
arrow-electronics	Arrow Electronics	medium:url-host	https://developers.arrow.com/api/index.php/site/page?view=bestPractices	BestPractices	common
arrow-electronics	Arrow Electronics	medium:url-host	https://developers.arrow.com/api/index.php/site/page?view=terms	TermsOfService	common
arrow-electronics	Arrow Electronics	strong:type	https://www.arrow.com/	Portal	common
arrow-electronics	Arrow Electronics	medium:url-host	https://developers.arrow.com/api/index.php/site/page?view=Itemservice	Documentation	api
arrow-electronics	Arrow Electronics	medium:url-host	https://developers.arrow.com/api/index.php/site/page?view=orderApi	Documentation	api
arthur-j-gallagher	Arthur J. Gallagher	strong:type	https://www.ajg.com/	Portal	common
arthur-j-gallagher	Arthur J. Gallagher	strong:type	https://developer.gallagherbassett.com/	Portal	common
asbury-automotive	Asbury Automotive Group	strong:type	https://www.asburyauto.com/	Portal	common
assurant	Assurant	strong:type	https://www.assurant.com/	Portal	common
assurant	Assurant	strong:type	https://www.assurant.com/partner-with-us/apex	Portal	common
at-and-t	AT&T	strong:type	https://developer.att.com/s/	Portal	common
at-and-t	AT&T	strong:type	https://devex-web.att.com/	DeveloperPortal	common
at-and-t	AT&T	medium:url-host	https://developer.att.com/oauth-2/docs	Authentication	common
at-and-t	AT&T	medium:url-host	https://developer.att.com/support	Support	common
at-and-t	AT&T	medium:url-host	https://developer.att.com/support/faqs/att-developer-program-and-api-platform-faqs	FAQ	common
at-and-t	AT&T	medium:url-host	https://developer.att.com/developer/manageMyAccount.jsp	SignUp	common
at-and-t	AT&T	medium:url-host	https://developer.att.com/sms/docs	Documentation	api
at-and-t	AT&T	medium:url-host	https://developer.att.com/sms/docs/v2	APIReference	api
at-and-t	AT&T	medium:url-host	https://developer.att.com/sms	GettingStarted	api
at-and-t	AT&T	medium:url-host	https://developer.att.com/in-app-messaging/docs	Documentation	api
atlassian	Atlassian	strong:type	https://developer.atlassian.com/cloud/	Portal	common
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/developer-guide/using-the-documentation/	GettingStarted	common
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/basic-auth-for-rest-apis/	Authentication	common
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/changelog/	ChangeLog	common
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/platform/marketplace/	Marketplace	common
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rate-limiting/	RateLimits	common
atlassian	Atlassian	medium:url-host	https://blog.developer.atlassian.com/	Blog	common
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/server/framework/atlassian-sdk/	SDK	common
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/bitbucket/rest/api-group-addon/	Documentation	api
